month_year,distance,house,neighborhood,avg_int,avg_total
9/2017,3173.44,Cabot,Quad,28.25,201.75
9/2017,3457.24,Pforzheimer,Quad,15.75,205
9/2017,3486.88,Currier,Quad,65,276.25
9/2018,641.54,FlyBy,Yard,515,516
9/2018,1024.32,Adams,River Central,96.5,415
9/2018,1062.31,Lowell,River Central,106,381
9/2018,1436.1,Quincy,River Central,95.5,442.5
9/2018,1599.63,Winthrop,River East,107,351
9/2018,1740.05,Kirkland,River East,54.5,285
9/2018,1750.81,Leverett,River West,40.5,293.5
9/2018,1877.21,Eliot,River East,44,308
9/2018,2180.38,Dunster,River West,95,301.5
9/2018,2264.54,Mather,River West,24.5,212.5
9/2018,3173.44,Cabot,Quad,17,192.5
9/2018,3457.24,Pforzheimer,Quad,15,203.5
9/2018,3486.88,Currier,Quad,64.5,275
